SYSTEM			COMMAND		SPAWN						UPGRADE				
id	Name	level	command	parameter	peep	spawn	player	total	active	rate	health	speed	turn	attack	
									at once	seconds	xp	xp	xp	xp	
String	String	int	String	*	String	String	String	int	int	Number	int	int	int	int	
		1	spawn		zombie	zombie	enemy	40	10	0	0	0	0	0	
		1	startwait	15											
		1	complete	alldead											
		1	fail	dead											
		1	spawn_items	"barrel,wall_crate,wall_tire,wall_sandbag,wall_barricade,turret_railgun,turret_minigun,turret_rocket,turret_laser,turret_mortar,turret_50calibre"											
		1	endwait	5											
		1	next	2											
		2	spawn		devil	devil	enemy	1	1	0	0	0	0	0	
		2	spawn		zombie	zombie	enemy	40	40	0	0	0	0	0	
		2	next	3											
		3	spawn		devil	devil	enemy	1	1	0	0	0	0	0	
		3	spawn		mummy	nearplayer	enemy	6	6	0.979166667	0	0	0	0	
		3	spawn		zombie	zombie	enemy	60	60	0	0	0	0	0	
		3	next	4											
		4	spawn		devil	devil	enemy	2	2	0	0	0	0	0	
		4	spawn		mummy	nearplayer	enemy	8	1.6	0.958333333	0	0	0	0	
		4	spawn		zombie	zombie	enemy	80	80	0	0	0	0	0	
		4	next	5											
		5	spawn		devil	devil	enemy	2	2	0	1	1	1	1	
		5	spawn		bomber	zombie	enemy	1	1	0.9375	1	1	1	1	
		5	spawn		mummy	nearplayer	enemy	10	10	0.9375	1	1	1	1	
		5	spawn		zombie	zombie	enemy	100	100	0	1	1	1	1	
		5	next	6											
		6	spawn		devil	devil	enemy	2	2	0	1	1	1	1	
		6	spawn		mummy	nearplayer	enemy	12	12	0.916666667	1	1	1	1	
		6	spawn		bomber	zombie	enemy	2	2	0.916666667	1	1	1	1	
		6	spawn		zombie	zombie	enemy	120	100	0	1	1	1	1	
		6	next	7											
		7	spawn		devil	devil	enemy	2	2	0	1	1	1	1	
		7	spawn		mummy	nearplayer	enemy	14	14	0.895833333	1	1	1	1	
		7	spawn		bomber	zombie	enemy	3	3	0.895833333	1	1	1	1	
		7	spawn		zombie	zombie	enemy	140	100	0	1	1	1	1	
		7	next	8											
		8	spawn		devil	devil	enemy	2	2	0	1	1	1	1	
		8	spawn		mummy	nearplayer	enemy	16	16	0.875	1	1	1	1	
		8	spawn		bomber	zombie	enemy	4	4	0.875	1	1	1	1	
		8	spawn		zombie	zombie	enemy	160	100	0	1	1	1	1	
		8	next	9											
		9	spawn		devil	devil	enemy	2	2	0	1	1	1	1	
		9	spawn		mummy	nearplayer	enemy	18	18	0.854166667	1	1	1	1	
