		TYPE			SHEET			CREATION					STATS							FIRE SPEED					AUDIO				FRONTEND										
id	name	type	los	trigger	asset	rSpawn	lSpawn	shot	item	anim	shell	muzzleFlash	ammo	maxAmmo	minRange	maxRange	autoAim	ignore	accuracy	delay	shotCount	reload	burst	rate	reloadSound	emptySound	sound	fireSound	_title	_subtitle	_bollars	_bulletCost	_state	_description	_offers	slot	_canKill	versionType	_comingSoon
													0 (inf)	0 (infinity)	AI	AI	0=none 1=wide	ignore enemies	1=wide 0=straight			secs	0 inf	secs															
String	String	String	Boolean	String	String	int	int	DShot	DItem	DAnim	String	String	int	int	Number	Number	Number	Vector.<String>	Number	Number	int	Number	int	Number	String	String	String	String	String	String	int	int	String	String	Vector.<String>	int	Boolean	Vector.<String>	Boolean
PLACABLES																																							
barrel	barrel	place		press	_barrel	1			barrel				0	0	0	1					1	0						barrel_place	Barrel	placeable	200	25	locked	31 Gallons of exploding gas. BOOM!	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		TRUE	"facebook,bxhnms1"	FALSE
mine	mine	place		press	_mine	1			mine				0	0	0	1					1	0						mine_place	Mine	placeable	250	25	locked	Plant this and watch it rain zombie flesh all around you! 	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		TRUE	facebook	FALSE
HAND 2 HAND														0																0				0					FALSE
hammer	hammer	h2h		press	_hammer					hammer			0	0	0	1.5					1	0.333333333		0.333333333				hammer	Hammer	Hand 2 hand	200	0	locked	A big hammer to pummel your enemies.	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		TRUE	facebook	FALSE
knife	knife	h2h		press	_knife	1				knife			0	0	0	1.5					1	0.25		0.25				knife	Knife	Hand 2 hand	100	0	locked	"A basic weapon, but great for slicing up the undead horde."	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		TRUE	"facebook,bxhnms1"	FALSE
sword	sword	h2h		press	_sword	1				sword			0	0	0	1.5					1	0.25		0.25				sword	Sword	Hand 2 hand	100	0	locked	This weapon is made for chopping your opponents in two.	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		TRUE	facebook	FALSE
baseball_bat	baseball_bat	h2h		press	_baseball_bat	1				baseball_bat			0	0	0	1.5					1	0.25		0.25				baseball_bat	Baseball bat	Hand 2 hand	200	0	locked	"Hey champ, knock 'em for six!"	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		TRUE	facebook	FALSE
handbag	handbag	h2h		press	_handbag	1				handbag			0	0	0	1.5					1	0.25		0.25				handbag	Handbag	Hand 2 hand	200	0	locked	Good for swiping at your enemies like an angry pensioner.	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		TRUE	facebook	FALSE
chainsaw	chainsaw	h2h		auto	_chainsaw	1				chainsaw			0	0	0	1.5					1	0					chainsaw_idle	chainsaw_active	Chainsaw	Hand 2 hand	300	0	locked	This weapon is awesome for turning zombies into burger meat.	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		TRUE	facebook	FALSE
WALLS	WALLS				_WALLS					WALLS				0																0				0					FALSE
wall_tire	wall_tire	place		press	_placement	1			wall_tire				0	0	0	1					1	0						wall_place	Tires	Wall	100	50	locked	Tyres will slow down your enemies so you can finish them off!	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		FALSE	facebook	FALSE
wall_crate	wall_crate	place		press	_placement	1			wall_crate				0	0	0	1					1	0						wall_place	Crate	Wall	100	50	locked	Keep your enemies at bay with these crates.	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		FALSE	facebook	FALSE
wall_sandbag	wall_sandbag	place		press	_placement	1			wall_sandbag				0	0	0	1					1	0						wall_place	Sandbags	Wall	100	50	locked	"Tried and tested, sandbags are great for defending against the horde."	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		FALSE	facebook	FALSE
wall_barricade	wall_barricade	place		press	_placement	1			wall_barricade				0	0	0	1					1	0						wall_place	Barricades	Wall	100	50	locked	Those rotting creatures won't get near you with these barricades.	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		FALSE	"facebook,bxhnms1"	FALSE
AIRSTRIKES	AIRSTRIKES								AIRSTRIKES					0																0				0					FALSE
airstrike_napalm	airstrike_napalm	place		press	_airstrike	1			airstrike_napalm				0	0	0	1					1	10						airstrike_place	Napalm	Airstrike	400	1000	locked	I love the smell of napalm in the morning.	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		TRUE	facebook	TRUE
airstrike_carpet	airstrike_carpet	place		press	_airstrike	1			airstrike_carpet				0	0	0	1					1	10						airstrike_place	Carpet	Airstrike	400	1000	locked	Covers your enemies under a carpet of bombs.	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_nuke:30"		TRUE	facebook	FALSE
airstrike_cluster	airstrike_cluster	place		press	_airstrike	1			airstrike_cluster				0	0	0	1					1	10						airstrike_place	Cluster	Airstrike	400	1000	locked	Drops a lot of small bombs in the target area.	"[character].uzi2:30,[character].minigun:30,[character].ak47:30,[character].m16:30,[character].grenade:30,[character].crossbow:30,[character].rpg:30,[character].bazooka:30,[character].flamethrower:30,[character].turret_minigun:30,[character].turret_laser:30,[character].turret_rocket:30,[character].turret_railgun:30,[character].turret_mortar:30,[character].turret_50calibre:30,[character].airstrike_carpet:30,[character].airstrike_nuke:30"		TRUE	facebook	TRUE
