SYSTEM			COMMAND		SPAWN						UPGRADE				
id	Name	level	command	parameter	peep	spawn	player	total	active	rate	health	speed	turn	attack	
									at once	seconds	xp	xp	xp	xp	
String	String	int	String	*	String	String	String	int	int	Number	int	int	int	int	
		1	spawn		devil	devil	enemy	1	1	1	0	0	0	0	
		1	spawn		zombie	zombie	enemy	10	5	0	0	0	0	0	
		1	startwait	1											
		1	complete	alldead											
		1	fail	dead											
		1	spawn_items	barrel											
		1	endwait	5											
		1	next	2											
		2	spawn		devil	devil	enemy	2	2	1	0	0	0	0	
		2	spawn		zombie	zombie	enemy	20	10	0	0	0	0	0	
		2	next	3											
		3	spawn		devil	devil	enemy	3	3	0.979166667	0	0	0	0	
		3	spawn		zombie	zombie	enemy	30	15	0	0	0	0	0	
		3	next	4											
		4	spawn		devil	devil	enemy	4	4	0.958333333	0	0	0	0	
		4	spawn		zombie	zombie	enemy	40	20	0.23	0	0	0	0	
		4	next	5											
		5	spawn		werewolf	zombie	enemy	25	25	0	1	1	1	1	
		5	next	6											
		6	spawn		devil	devil	enemy	6	6	0.916666667	1	1	1	1	
		6	spawn		zombie	zombie	enemy	60	30	0	1	1	1	1	
		6	next	7											
		7	spawn		devil	devil	enemy	7	7	0.895833333	1	1	1	1	
		7	spawn		zombie	zombie	enemy	70	35	0	1	1	1	1	
		7	next	8											
		8	spawn		devil	devil	enemy	8	8	0.875	1	1	1	1	
		8	spawn		zombie	zombie	enemy	80	40	0	1	1	1	1	
		8	next	9											
		9	spawn		devil	devil	enemy	9	9	0.854166667	1	1	1	1	
		9	spawn		zombie	zombie	enemy	90	45	0.205	1	1	1	1	
		9	next	10											
		10	spawn		lucifer	zombie	enemy	50	50	0	2	2	2	2	
		10	next	11											
		11	spawn		bomber	zombie	enemy	55	27.5	0.8125	2	2	2	2	
		11	spawn		devil	devil	enemy	11	11	0.8125	2	2	2	2	
		11	spawn		zombie	zombie	enemy	110	55	0	2	2	2	2	
		11	next	12											
		12	spawn		bomber	zombie	enemy	60	30	0.791666667	2	2	2	2	
		12	spawn		devil	devil	enemy	12	12	0.791666667	2	2	2	2	
		12	spawn		zombie	zombie	enemy	120	60	0	2	2	2	2	
		12	next	13											
		13	spawn		bomber	zombie	enemy	65	32.5	0.770833333	2	2	2	2	
		13	spawn		devil	devil	enemy	13	13	0.770833333	2	2	2	2	
		13	spawn		zombie	zombie	enemy	130	65	0	2	2	2	2	
		13	next	14											
		14	spawn		bomber	zombie	enemy	70	35	0.75	2	2	2	2	
