SYSTEM			COMMAND		SPAWN						UPGRADE				
id	Name	level	command	parameter	peep	spawn	player	total	active	rate	health	speed	turn	attack	
									at once	seconds	xp	xp	xp	xp	
String	String	int	String	*	String	String	String	int	int	Number	int	int	int	int	
		1	spawn		zombie	zombie	enemy	40	40	0.1	0	0	0	0	
		1	startwait	5											
		1	complete	alldead											
		1	fail	dead											
		1	spawn_items	"barrel,wall_crate,wall_tire,wall_sandbag,wall_barricade,turret_railgun,turret_minigun,turret_rocket,turret_laser,turret_mortar,turret_50calibre"											
		1	endwait	5											
		1	next	2											
		2	spawn		zombie	zombie	enemy	40	40	0.1	0	0	0	0	
		2	spawn		devil	devil	enemy	2	2	1	0	0	0	0	
		2	next	3											
		3	spawn		zombie	zombie	enemy	60	60	0.1	0	0	0	0	
		3	spawn		devil	devil	enemy	3	3	1	0	0	0	0	
		3	next	4											
		4	spawn		zombie	zombie	enemy	80	80	0.1	0	0	0	0	
		4	spawn		rudolf	zombie	enemy	4	4	1	0	0	0	0	
		4	next	5											
		5	spawn		zombie	zombie	enemy	100	100	0.1	1	1	1	1	
		5	spawn		rudolf	zombie	enemy	5	5	1	1	1	1	1	
		5	next	6											
		6	spawn		zombie	zombie	enemy	120	100	0.1	1	1	1	1	
		6	spawn		bomber	zombie	enemy	6	5	1	1	1	1	1	
		6	next	7											
		7	spawn		zombie	zombie	enemy	140	100	0.1	1	1	1	1	
		7	spawn		bomber	zombie	enemy	7	5	1	1	1	1	1	
		7	next	8											
		8	spawn		zombie	zombie	enemy	160	100	0.1	1	1	1	1	
		8	spawn		devil	devil	enemy	8	5	1	1	1	1	1	
		8	next	9											
		9	spawn		zombie	zombie	enemy	180	100	0.1	1	1	1	1	
		9	spawn		devil	devil	enemy	9	5	1	1	1	1	1	
		9	next	10											
		10	spawn		zombie	zombie	enemy	200	100	0.1	2	2	2	2	
		10	spawn		bomber	zombie	enemy	10	10	1	2	2	2	2	
		10	spawn		devil	devil	enemy	10	5	1	2	2	2	2	
		10	next	11											
		11	spawn		zombie	zombie	enemy	220	100	0.1	2	2	2	2	
		11	spawn		bomber	zombie	enemy	22	10	1	2	2	2	2	
		11	spawn		devil	devil	enemy	11	5	1	2	2	2	2	
		11	next	12											
		12	spawn		zombie	zombie	enemy	240	100	0.1	2	2	2	2	
		12	spawn		rudolf	zombie	enemy	24	10	1	2	2	2	2	
		12	spawn		devil	devil	enemy	12	5	1	2	2	2	2	
		12	next	13											
		13	spawn		zombie	zombie	enemy	260	100	0.1	2	2	2	2	
