SYSTEM			COMMAND		SPAWN						UPGRADE				
id	Name	level	command	parameter	peep	spawn	player	total	active	rate	health	speed	turn	attack	
									at once	seconds	xp	xp	xp	xp	
String	String	int	String	*	String	String	String	int	int	Number	int	int	int	int	
		1	spawn		troll	troll	enemy	4	2	0	0	0	0	0	
		1	spawn		vampire	nearplayer	enemy	12	6	1	0	0	0	0	
		1	spawn		werewolf	zombie	enemy	12	6	0	0	0	0	0	
		1	startwait	5											
		1	complete	alldead											
		1	fail	dead											
		1	spawn_items	"barrel,wall_crate,wall_tire,wall_sandbag,wall_barricade,turret_railgun,turret_minigun,turret_rocket,turret_laser,turret_mortar,turret_50calibre"											
		1	endwait	5											
		1	next	2											
		2	spawn		troll	troll	enemy	8	4	0	0	0	0	0	
		2	spawn		vampire	nearplayer	enemy	24	10	1	0	0	0	0	
		2	spawn		werewolf	zombie	enemy	24	12	0	0	0	0	0	
		2	next	3											
		3	spawn		troll	troll	enemy	8	4	0	0	0	0	0	
		3	spawn		vampire	nearplayer	enemy	24	10	1	0	0	0	0	
		3	spawn		werewolf	zombie	enemy	24	12	0	0	0	0	0	
		3	next	4											
		4	spawn		troll	troll	enemy	8	4	0	0	0	0	0	
		4	spawn		vampire	nearplayer	enemy	32	10	1	0	0	0	0	
		4	spawn		werewolf	zombie	enemy	32	16	0	0	0	0	0	
		4	next	5											
		5	spawn		troll	troll	enemy	10	5	0	1	1	1	1	
		5	spawn		vampire	nearplayer	enemy	34	10	1	1	1	1	1	
		5	spawn		werewolf	zombie	enemy	34	17	0	1	1	1	1	
		5	next	6											
		6	spawn		troll	troll	enemy	12	6	0	1	1	1	1	
		6	spawn		vampire	nearplayer	enemy	36	10	1	1	1	1	1	
		6	spawn		werewolf	zombie	enemy	36	18	0	1	1	1	1	
		6	next	7											
		7	spawn		troll	troll	enemy	14	7	0	1	1	1	1	
		7	spawn		vampire	nearplayer	enemy	42	10	1	1	1	1	1	
		7	spawn		werewolf	zombie	enemy	42	20	0	1	1	1	1	
		7	next	8											
		8	spawn		troll	troll	enemy	16	8	0	1	1	1	1	
		8	spawn		vampire	nearplayer	enemy	48	10	1	1	1	1	1	
		8	spawn		werewolf	zombie	enemy	48	20	0	1	1	1	1	
		8	next	9											
		9	spawn		troll	troll	enemy	18	9	0	1	1	1	1	
		9	spawn		vampire	nearplayer	enemy	54	10	1	1	1	1	1	
		9	spawn		werewolf	zombie	enemy	54	20	0	1	1	1	1	
		9	next	10											
		10	spawn		troll	troll	enemy	20	10	0	2	2	2	2	
