SYSTEM			COMMAND		SPAWN						UPGRADE				
id	Name	level	command	parameter	peep	spawn	player	total	active	rate	health	speed	turn	attack	
									at once	seconds	xp	xp	xp	xp	
String	String	int	String	*	String	String	String	int	int	Number	int	int	int	int	
		1	spawn		ed206	troll	enemy	4	2	0	0	0	0	0	
		1	spawn		mummy	nearplayer	enemy	12	6	1	0	0	0	0	
		1	spawn		bomber	zombie	enemy	12	6	0	0	0	0	0	
		1	startwait	5											
		1	complete	alldead											
		1	fail	dead											
		1	spawn_items	"barrel,wall_crate,wall_tire,wall_sandbag,wall_barricade,turret_railgun,turret_minigun,turret_rocket,turret_laser,turret_mortar,turret_50calibre"											
		1	endwait	5											
		1	next	2											
		2	spawn		ed206	troll	enemy	8	4	0	0	0	0	0	
		2	spawn		mummy	nearplayer	enemy	24	10	1	0	0	0	0	
		2	spawn		bomber	zombie1	enemy	24	12	0	0	0	0	0	
		2	spawn		lucifer	zombie	enemy	12	6	0	0	0	0	0	
		2	next	3											
		3	spawn		ed206	troll	enemy	8	4	0	0	0	0	0	
		3	spawn		mummy	nearplayer	enemy	24	10	1	0	0	0	0	
		3	spawn		bomber	zombie	enemy	24	12	0	0	0	0	0	
		3	spawn		lucifer	zombie1	enemy	18	9	0	0	0	0	0	
		3	next	4											
		4	spawn		ed206	troll	enemy	8	4	0	0	0	0	0	
		4	spawn		mummy	nearplayer	enemy	32	10	1	0	0	0	0	
		4	spawn		bomber	zombie	enemy	32	16	0	0	0	0	0	
		4	spawn		lucifer	zombie1	enemy	24	12	0	0	0	0	0	
		4	next	5											
		5	spawn		ed206	troll	enemy	10	5	0	1	1	1	1	
		5	spawn		mummy	nearplayer	enemy	34	10	1	1	1	1	1	
		5	spawn		bomber	zombie1	enemy	34	17	0	1	1	1	1	
		5	spawn		lucifer	zombie	enemy	30	15	0	1	1	1	1	
		5	next	6											
		6	spawn		ed206	troll	enemy	10	5	0	1	1	1	1	
		6	spawn		mummy	nearplayer	enemy	36	10	1	1	1	1	1	
		6	spawn		bomber	zombie	enemy	36	18	0	1	1	1	1	
		6	spawn		lucifer	zombie1	enemy	36	18	0	1	1	1	1	
		6	next	7											
		7	spawn		ed206	troll	enemy	10	5	0	1	1	1	1	
		7	spawn		mummy	nearplayer	enemy	42	10	1	1	1	1	1	
		7	spawn		bomber	zombie1	enemy	42	20	0	1	1	1	1	
		7	spawn		lucifer	zombie	enemy	42	20	0	1	1	1	1	
		7	next	8											
		8	spawn		ed206	troll	enemy	10	5	0	1	1	1	1	
