header			GAME		FRONTEND																				
id	name	mapURI	mapSymbol	levelURI	order	_title	_subtitle	_description	_infoTooltip	_shopDescription	_state	_promotion	_bollars	_offers	_offerDiscount	totalLevels	_difficulty	_comingSoon	__releaseDate	availableInTotal	availableInUser	availableInVisible	tryable	tryDuration	versionType
														not used anymore	in percentage				2/9/2011		days from user starts playing	days visible before available		in seconds	
String	String	String	String	String	int	String	String	String	String	String	String	Boolean	int	Vector.<String>	int	int	int	Boolean		int	int	int	Boolean	int	Vector.<String>
bf0031	bf0031	data/maps/map_gfx_1.swf	map_0031	data/L_baddie_9.txt	1	The Forest	Kill 1M baddies	"In a big, dark forest. Cold and alone"	Awesome battlefield	_shopDescription	owned	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms3"
bf0027	bf0027	data/maps/map_gfx_1.swf	map_0027	data/L_def_3.txt	2	Checkmate	Defence	Stay in the your base and defend yourself. Let the massacre begin!	Awesome battlefield	_shopDescription	owned	FALSE	500		30	50	1	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms3"
bf0028	bf0028	data/maps/map_gfx_1.swf	map_0028	data/L_baddie_8.txt	3	Square	Kill 1M baddies	It's a small space so watch out	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	2	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms3"
bf0032	bf0032	data/maps/map_gfx_1.swf	map_0032	data/L_baddie_10.txt	4	_test	debug	"This battlefield is for testing, we think it's fun so we left it in the game for you."	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	2	FALSE	2/9/2011	0	0	0	FALSE	600	facebook
bf0029	bf0029	data/maps/map_gfx_1.swf	map_0029	data/L_baddie_7.txt	5	Big Village	Kill 1M baddies	Don't go in the houses.	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms3"
bf0030	bf0030	data/maps/map_gfx_1.swf	map_0030	data/L_zombie_2.txt	6	The Strip 2	Kill 1M zombies	Get them all.	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms3"
bf0016	bf0016	data/maps/map_gfx_1.swf	map_0016	data/L_devil.txt	7	Pillar	Defeat Devil	Fire everywhere	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	2	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms3"
bf0020	bf0020	data/maps/map_gfx_1.swf	map_0020	data/L_baddie_4.txt	8	Hurricane	Kill 1M baddies	Hold the line	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms1"
bf0005	bf0005	data/maps/map_gfx_1.swf	map_0005	data/L_def_1.txt	9	Road 666	Defence	It's a long way home.	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	1	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms1"
bf0010	bf0010	data/maps/map_gfx_1.swf	map_0010	data/L_troll.txt	10	Troll	Defeat Troll	"The Forest. Watch out for the Troll, he wants to boil you in a cooking pot."	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	2	FALSE	2/9/2011	0	0	0	FALSE	600	facebook
bf0021	bf0021	data/maps/map_gfx_1.swf	map_0021	data/L_def_h_2.txt	11	Deja vu	Defence	Stay in the base and defend yourself. Let the massacre begin!	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms1"
bf0017	bf0017	data/maps/map_gfx_1.swf	map_0017	data/L_baddie_5.txt	12	Hazard	Kill 1M baddies	Watch out for the blind alley	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms1"
bf0022	bf0022	data/maps/map_gfx_1.swf	map_0022	data/L_def_2.txt	13	Massive	Defence	Massive massacre	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	1	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms2"
bf0023	bf0023	data/maps/map_gfx_1.swf	map_0023	data/L_baddie_6.txt	14	Patchy	Kill 1M baddies	They come from everywhere.	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	2	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms2"
bf0025	bf0025	data/maps/map_gfx_1.swf	map_0025	data/L_baddie_6.txt	15	Columns	Kill 1M baddies	All Columns	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms2"
bf0026	bf0026	data/maps/map_gfx_1.swf	map_0026	data/L_def_h_3.txt	16	Big One	Defence	Stay in the middle and defend yourself. Let the massacre begin!	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms2"
bf0007	bf0007	data/maps/map_gfx_1.swf	map_0007	data/L_zombie.txt	17	The Strip	Kill 1M zombies	Get them all.	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	1	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms1"
bf0003	bf0003	data/maps/map_gfx_1.swf	map_0003	data/L_baddie_1.txt	18	Village	Kill 1M baddies	Don't go in the houses.	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	1	FALSE	2/9/2011	0	0	0	FALSE	600	facebook
bf0004	bf0004	data/maps/map_gfx_1.swf	map_0004	data/L_def_h_1.txt	19	Massacre	Defence hard	Stay in the middle and defend yourself. Let the massacre begin!	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	facebook
bf0008	bf0008	data/maps/map_gfx_1.swf	map_0008	data/L_baddie_3.txt	20	Maze	Kill 1M baddies	Dont get lost in the maze. Kill all the baddies and escape from this nightmare!	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	2	FALSE	2/9/2011	0	0	0	FALSE	600	facebook
bf0009	bf0009	data/maps/map_gfx_1.swf	map_0009	data/L_ed206.txt	21	ED 206	Defeat ED 206	Bobocops enemy.	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	facebook
bf0002	bf0002	data/maps/map_gfx_1.swf	map_0002	data/L_def_h_1.txt	22	Bridges	Defence	Defend the way. Don't let them take the bridges!	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	facebook
