SYSTEM			COMMAND		SPAWN						UPGRADE				
id	Name	level	command	parameter	peep	spawn	player	total	active	rate	health	speed	turn	attack	
									at once	seconds	xp	xp	xp	xp	
String	String	int	String	*	String	String	String	int	int	Number	int	int	int	int	
		1	spawn		zombie	zombie	enemy	60	60	0	0	0	0	0	
		1	startwait	1											
		1	complete	alldead											
		1	fail	dead											
		1	spawn_items	"barrel,wall_crate,wall_tire,wall_sandbag,wall_barricade,turret_railgun,turret_minigun,turret_rocket,turret_laser,turret_mortar,turret_50calibre"											
		1	endwait	5											
		1	next	2											
		2	spawn		zombie	zombie	enemy	60	60	0	0	0	0	0	
		2	next	3											
		3	spawn		devil	devil	enemy	1	1	0.1	0	0	0	0	
		3	spawn		zombie	zombie	enemy	60	40	0	0	0	0	0	
		3	next	4											
		4	spawn		devil	devil	enemy	1	1	0.1	0	0	0	0	
		4	spawn		zombie	zombie	enemy	60	50	0	0	0	0	0	
		4	next	5											
		5	spawn		devil	devil	enemy	1	1	0.1	1	1	1	1	
		5	spawn		zombie	zombie	enemy	70	60	0	1	1	1	1	
		5	next	6											
		6	spawn		devil	devil	enemy	2	2	0.1	1	1	1	1	
		6	spawn		zombie	zombie	enemy	80	70	0	1	1	1	1	
		6	next	7											
		7	spawn		devil	devil	enemy	2	2	0.1	1	1	1	1	
		7	spawn		zombie	zombie	enemy	100	80	0	1	1	1	1	
		7	next	8											
		8	spawn		devil	devil	enemy	2	2	0.1	1	1	1	1	
		8	spawn		zombie	zombie	enemy	120	100	0	1	1	1	1	
		8	next	9											
		9	spawn		devil	devil	enemy	3	3	0.1	1	1	1	1	
		9	spawn		zombie	zombie	enemy	126	100	0	1	1	1	1	
		9	next	10											
		10	spawn		zombie	zombie	enemy	140	100	0	2	2	2	2	
		10	spawn		devil	devil	enemy	3	3	0.1	2	2	2	2	
		10	next	11											
		11	spawn		devil	devil	enemy	10	5	0	2	2	2	2	
		11	next	12											
		12	spawn		zombie	zombie	enemy	168	100	0	2	2	2	2	
		12	spawn		devil	devil	enemy	4	4	0.1	2	2	2	2	
		12	next	13											
		13	spawn		zombie	zombie	enemy	182	100	0	2	2	2	2	
		13	spawn		devil	devil	enemy	4	4	0.1	2	2	2	2	
		13	next	14											
		14	spawn		zombie	zombie	enemy	196	100	0	2	2	2	2	
		14	spawn		devil	devil	enemy	4	4	0.1	2	2	2	2	
		14	next	15											
		15	spawn		zombie	zombie	enemy	210	100	0	3	3	3	3	
		15	spawn		devil	devil	enemy	5	5	0.1	3	3	3	3	
		15	next	16											
