header					
id	_totalKills	_boins	_energyRefill	_energyPlusOne	
					
String	int	int	Boolean	Boolean	
0	0	0	FALSE	FALSE	50
1	50	1000	TRUE	FALSE	200
2	250	2000	TRUE	FALSE	400
3	650	3000	TRUE	FALSE	800
4	1450	4000	TRUE	FALSE	1200
5	2650	5000	TRUE	FALSE	1600
6	4250	6000	TRUE	FALSE	3200
7	7450	7000	TRUE	FALSE	6000
8	13450	8000	TRUE	FALSE	6500
9	19950	9000	TRUE	FALSE	7000
10	26950	10000	TRUE	TRUE	7500
11	34450	11000	TRUE	FALSE	8000
12	42450	12000	TRUE	FALSE	8500
13	50950	13000	TRUE	FALSE	9000
14	59950	14000	TRUE	FALSE	9500
15	69450	15000	TRUE	FALSE	10000
16	79450	16000	TRUE	FALSE	11000
17	90450	17000	TRUE	FALSE	12000
18	102450	18000	TRUE	FALSE	13000
19	115450	19000	TRUE	FALSE	14000
20	129450	20000	TRUE	TRUE	15000
21	144450	21000	TRUE	FALSE	16000
22	160450	22000	TRUE	FALSE	17000
23	177450	23000	TRUE	FALSE	18000
24	195450	24000	TRUE	FALSE	19000
25	214450	25000	TRUE	FALSE	20000
26	234450	26000	TRUE	FALSE	21000
27	255450	27000	TRUE	FALSE	22000
28	277450	28000	TRUE	FALSE	23000
29	300450	29000	TRUE	FALSE	24000
30	324450	30000	TRUE	TRUE	25000
31	349450	31000	TRUE	FALSE	26000
32	375450	32000	TRUE	FALSE	27000
33	402450	33000	TRUE	FALSE	28000
34	430450	34000	TRUE	FALSE	29000
35	459450	35000	TRUE	FALSE	30000
36	489450	36000	TRUE	FALSE	31000
37	520450	37000	TRUE	FALSE	32000
38	552450	38000	TRUE	FALSE	33000
39	585450	39000	TRUE	FALSE	34000
40	619450	40000	TRUE	TRUE	35000
41	654450	41000	TRUE	FALSE	36000
42	690450	42000	TRUE	FALSE	37000
43	727450	43000	TRUE	FALSE	38000
44	765450	44000	TRUE	FALSE	39000
45	804450	45000	TRUE	FALSE	40000
46	844450	46000	TRUE	FALSE	41000
47	885450	47000	TRUE	FALSE	42000
48	927450	48000	TRUE	FALSE	43000
49	970450	49000	TRUE	FALSE	44000
50	1014450	50000	TRUE	TRUE	45000
51	1059450	51000	TRUE	FALSE	46000
52	1105450	52000	TRUE	FALSE	47000
53	1152450	53000	TRUE	FALSE	48000
54	1200450	54000	TRUE	FALSE	49000
55	1249450	55000	TRUE	FALSE	50000
56	1299450	56000	TRUE	FALSE	51000
57	1350450	57000	TRUE	FALSE	52000
58	1402450	58000	TRUE	FALSE	53000
59	1455450	59000	TRUE	FALSE	54000
60	1509450	60000	TRUE	TRUE	55000
61	1564450	61000	TRUE	FALSE	56000
62	1620450	62000	TRUE	FALSE	57000
63	1677450	63000	TRUE	FALSE	58000
64	1735450	64000	TRUE	FALSE	59000
65	1794450	65000	TRUE	FALSE	60000
66	1854450	66000	TRUE	FALSE	61000
67	1915450	67000	TRUE	FALSE	62000
68	1977450	68000	TRUE	FALSE	63000
69	2040450	69000	TRUE	FALSE	64000
70	2104450	70000	TRUE	TRUE	65000
71	2169450	71000	TRUE	FALSE	66000
72	2235450	72000	TRUE	FALSE	67000
73	2302450	73000	TRUE	FALSE	68000
74	2370450	74000	TRUE	FALSE	69000
75	2439450	75000	TRUE	FALSE	70000
76	2509450	76000	TRUE	FALSE	71000
77	2580450	77000	TRUE	FALSE	72000
78	2652450	78000	TRUE	FALSE	73000
79	2725450	79000	TRUE	FALSE	74000
80	2799450	80000	TRUE	TRUE	75000
81	2874450	81000	TRUE	FALSE	76000
82	2950450	82000	TRUE	FALSE	77000
83	3027450	83000	TRUE	FALSE	78000
84	3105450	84000	TRUE	FALSE	79000
85	3184450	85000	TRUE	FALSE	80000
86	3264450	86000	TRUE	FALSE	81000
87	3345450	87000	TRUE	FALSE	82000
88	3427450	88000	TRUE	FALSE	83000
89	3510450	89000	TRUE	FALSE	84000
90	3594450	90000	TRUE	TRUE	85000
91	3679450	91000	TRUE	FALSE	86000
92	3765450	92000	TRUE	FALSE	87000
93	3852450	93000	TRUE	FALSE	88000
94	3940450	94000	TRUE	FALSE	89000
95	4029450	95000	TRUE	FALSE	90000
96	4119450	96000	TRUE	FALSE	91000
97	4210450	97000	TRUE	FALSE	92000
98	4302450	98000	TRUE	FALSE	93000
99	4395450	99000	TRUE	FALSE	94000
100	4489450	100000	TRUE	TRUE	95000
					
